# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
10.141,4.02E+04,611.567,51.61,0.225,324.82,241.453,0
10.191,4.02E+04,602.331,51.608,0.225,324.947,241.446,0
10.241,4.02E+04,593.299,51.605,0.225,325.372,241.439,0
10.291,4.02E+04,584.468,51.602,0.225,325.467,241.433,0
10.341,4.02E+04,575.831,51.599,0.225,325.003,241.426,0
10.391,4.02E+04,567.387,51.596,0.225,324.77,241.42,0
10.441,4.02E+04,559.13,51.594,0.225,324.75,241.413,0
10.491,4.02E+04,551.055,51.591,0.225,325.184,241.407,0
10.541,4.02E+04,543.159,51.589,0.225,325.301,241.401,0
10.591,4.01E+04,535.438,51.586,0.225,324.675,241.395,0
10.641,4.01E+04,527.888,51.584,0.225,324.457,241.389,0
10.691,4.01E+04,520.505,51.582,0.225,324.406,241.384,0
10.741,4.01E+04,513.286,51.579,0.224,324.628,241.378,0
10.791,4.01E+04,506.227,51.577,0.224,325.021,241.373,0
10.841,4.01E+04,499.324,51.575,0.224,324.526,241.368,0
10.891,4.01E+04,492.574,51.573,0.224,323.93,241.362,0
10.941,4.01E+04,485.974,51.571,0.224,323.827,241.357,0
10.991,4.01E+04,479.52,51.569,0.224,324.169,241.352,0
11.041,4.01E+04,473.208,51.567,0.224,324.702,241.348,0
11.091,4.01E+04,467.037,51.565,0.224,324.234,241.343,0
11.141,4.01E+04,461.002,51.563,0.224,323.743,241.338,0
11.191,4.01E+04,455.101,51.561,0.224,323.466,241.334,0
11.241,4.01E+04,449.331,51.559,0.224,323.645,241.329,0
11.291,4.01E+04,443.688,51.557,0.224,324.11,241.325,0
11.341,4.01E+04,438.17,51.556,0.224,324.174,241.321,0
11.391,4.00E+04,432.776,51.554,0.224,323.692,241.317,0
11.441,4.00E+04,427.5,51.552,0.224,323.374,241.313,0
11.491,4.00E+04,422.34,51.551,0.224,323.39,241.309,0
11.541,4.00E+04,417.296,51.549,0.224,323.677,241.305,0
11.591,4.00E+04,412.363,51.547,0.224,324.096,241.301,0
11.641,4.00E+04,407.539,51.546,0.224,323.589,241.297,0
11.691,4.00E+04,402.823,51.544,0.224,323.313,241.294,0
11.741,4.00E+04,398.21,51.543,0.224,323.181,241.29,0
11.791,4.00E+04,393.7,51.541,0.224,323.157,241.287,0
11.841,4.00E+04,389.29,51.54,0.224,323.69,241.283,0
11.891,4.00E+04,384.977,51.539,0.224,323.413,241.28,0
11.941,4.00E+04,380.76,51.537,0.224,323.018,241.277,0
11.991,4.00E+04,376.636,51.536,0.224,322.861,241.273,0
12.041,4.00E+04,372.604,51.535,0.224,322.784,241.27,0
12.091,4.00E+04,368.662,51.534,0.224,323.395,241.267,0
